Fiscal Year,Mariner 3 & 4,Mariner 6 & 7,Early Mariner LVs,Mariner 8 & 9,Viking,Mars Data Analysis,Mars Observer,Mars '94 NASA Cont.,Mars Pathfinder,Mars Exploration Program,InSight,Mars (nominal $),Mars,Mariner 1 & 2,Mariver 1 & 2 LV,Mariner 5,Mariner 5 LV,Pioneer Venus,Magellan,Venus,Mariner 10,MESSENGER,Mercury,Pioneer 10 & 11,Voyager,Galileo,Cassini,Juno,Outer Planets Program,Europa Clipper,Outer Planets,Lunar Ranger,Lunar Orbiter,Lunar Surveyor,Lunar Prospector,GRAIL,Lunar Exploration Program,The Moon,NEAR,Stardust,DS1,CONTOUR,Deep Impact,Dawn,New Horizons,OSIRIS-REx,Lucy,Psyche,Small Bodies
1960,,,,,,,,,,,,$0.0,$0.0,,,,,,,$0.0,,$0.0,$0.0,,,,,,,,$0.0,$19.5,,0,,0,,$257.0,0,,,0,0,,0,0,0,0,$0.0
1961,,,,,,,,,,,,$0.0,$0.0,,,,,,,$0.0,,$0.0,$0.0,,,,,,,,$0.0,$45.1,,$7.1,,0,,$664.1,0,,,0,0,,0,0,0,0,$0.0
1962,0,0,,0,0,,0,,0,,0,$0.0,$0.0,$13.2,$17.0,0,,0,0,$370.3,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$63.4,0,$36.8,,0,,"$1,228.3",0,,,0,0,,0,0,0,0,$0.0
1963,$31.8,0,$4.8,0,0,,0,,0,,0,$36.6,$433.4,$7.7,,0,,0,0,$91.2,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$71.3,$4.0,$66.4,,0,,"$1,676.8",0,,,0,0,,0,0,0,0,$0.0
1964,$28.4,0,$10.6,0,0,,0,,0,,0,$38.9,$440.8,,,0,,0,0,$0.0,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$30.3,$20.0,$102.7,,0,,"$1,733.3",0,,,0,0,,0,0,0,0,$0.0
1965,$16.2,0,,0,0,,0,,0,,0,$16.2,$177.5,,,0,,0,0,$0.0,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$11.0,$58.6,$121.9,,0,,"$2,098.1",0,,,0,0,,0,0,0,0,$0.0
1966,$2.3,$0.0,,0,0,,0,,0,,0,$2.3,$24.1,,,$10.9,$14.5,0,0,$262.5,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,$1.0,$72.6,$119.6,,0,,"$1,996.9",0,,,0,0,,0,0,0,0,$0.0
1967,$1.0,$30.1,,0,0,,0,,0,,0,$31.1,$306.7,,,$12.1,$9.0,0,0,$207.5,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,0,$35.3,$87.5,,0,,"$1,210.4",0,,,0,0,,0,0,0,0,$0.0
1968,0,$62.9,$6.9,,0,,0,,0,,0,$69.7,$651.8,,,$3.4,,0,0,$31.8,0,$0.0,$0.0,0,0,0,0,0,,0,$0.0,,$10.0,$33.0,,0,,$402.0,0,,,0,0,,0,0,0,0,$0.0
1969,,$26.1,$11.0,$31.6,$12.4,,0,,0,,0,$81.2,$718.3,,,0,,0,0,$0.0,0,$0.0,$0.0,$6.0,0,0,0,0,,0,$52.8,,0,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1970,,$3.7,$2.1,$68.5,$40.2,,0,,0,,0,$114.5,$946.9,,,,,0,0,$0.0,$0.9,$0.0,$7.4,$22.6,0,0,0,0,,0,$187.0,,0,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1971,,$0.2,,$31.3,$41.1,,0,,0,,0,$72.6,$564.9,,,,,0,0,$0.0,$13.4,$0.0,$104.3,$56.5,0,0,0,0,,0,$439.7,,0,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1972,,$0.0,,$17.0,$186.3,,0,,0,,0,$203.3,"$1,496.9",,,,,0,0,$0.0,$52.4,$0.0,$385.8,$19.0,$9.2,0,0,0,,0,$207.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1973,,,,$7.2,$265.2,,0,,0,,0,$272.4,"$1,897.7",,,,,0,0,$0.0,$37.3,$0.0,$259.9,$2.7,$6.1,0,0,0,,0,$60.7,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1974,,,$0.0,,$313.4,,0,,0,,0,$313.4,"$2,036.7",,,,,0,0,$0.0,$11.2,$0.0,$72.6,$5.3,$46.6,0,0,0,,0,$337.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1975,,,,0,$95.2,,0,,0,,0,$95.2,$558.4,,,,,$27.3,0,$160.2,$5.3,$0.0,$31.2,$4.9,$77.0,0,0,0,,0,$480.3,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1976,,,,0,$39.5,,0,,0,,0,$39.5,$212.5,,,,,$63.0,0,$338.9,0,$0.0,$0.0,$3.6,$112.6,0,0,0,,0,$625.2,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1977,,,,,$25.4,,0,,0,,0,$25.4,$123.4,,,,,$65.4,0,$317.4,,$0.0,$0.0,$2.3,$59.8,0,0,0,,0,$301.5,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1978,,,,,$20.0,,0,,0,,0,$20.0,$90.1,,,,,$23.2,0,$104.5,,$0.0,$0.0,$1.8,$16.0,$21.0,0,0,,0,$174.7,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1979,,,,,$5.0,,0,,0,,0,$5.0,$20.6,,,,,$9.0,0,$37.0,,$0.0,$0.0,$2.8,$16.7,$78.7,0,0,,0,$404.4,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1980,,,,,$2.5,$6.0,0,,0,,0,$8.5,$31.4,,,,,$8.3,0,$30.7,,$0.0,$0.0,$2.8,$19.0,$116.1,0,0,,0,$512.6,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1981,,,,,0,$4.4,0,,0,,0,$4.4,$14.9,,,,,$4.7,0,$15.9,,$0.0,$0.0,$2.0,$29.0,$63.1,0,0,,0,$317.6,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1982,,,,,0,$2.9,0,,0,,0,$2.9,$9.1,,,,,$5.1,0,$15.9,,$0.0,$0.0,$1.9,$17.2,$115.7,0,0,,0,$422.2,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1983,,,,,,$4.3,0,,0,,0,$4.3,$12.7,,,,,$5.1,0,$14.9,,$0.0,$0.0,$0.0,$17.4,$91.6,0,0,,0,$320.8,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1984,,,,,,$2.9,0,,0,,0,$2.9,$8.1,,,,,$5.1,$29.0,$95.1,,$0.0,$0.0,$0.0,$19.1,$79.5,0,0,,0,$275.3,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1985,,,,,,$3.1,$13.0,,0,,0,$16.1,$43.5,,,,,$5.1,$92.5,$263.5,,$0.0,$0.0,$0.0,$26.0,$58.8,0,0,,0,$229.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1986,,,,,,$3.1,$33.8,,0,,0,$36.9,$96.8,,,,,$5.1,$120.3,$328.7,,$0.0,$0.0,$0.0,$30.8,$64.2,0,0,,0,$249.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1987,,,,,,$2.9,$35.8,,0,,0,$38.7,$97.4,,,,,$5.2,$105.3,$278.3,,$0.0,$0.0,$3.7,$28.9,$71.2,0,0,,0,$261.5,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1988,,,,,,$3.7,$53.9,,0,,0,$57.6,$137.7,,,,,$4.4,$73.0,$185.1,,$0.0,$0.0,$3.5,$24.6,$51.9,0,0,,0,$191.4,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1989,,,,,,$4.7,$120.0,,0,,0,$124.7,$284.6,,,,,$5.6,$60.2,$150.2,,$0.0,$0.0,$3.7,$42.4,$73.4,0,0,,0,$272.7,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1990,,,,,,$3.5,$166.1,$4.4,0,,0,$174.0,$380.1,,,,,$5.9,$41.2,$102.9,,$0.0,$0.0,$3.9,$25.5,$37.3,$29.5,0,,0,$210.1,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1991,,,,,,$7.1,$199.4,$1.5,0,,0,$208.0,$438.5,,,,,$6.2,$43.3,$104.3,,$0.0,$0.0,$4.1,$17.6,$48.1,$145.4,0,,0,$453.5,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1992,,,,,,$0.0,$124.4,$1.2,0,,0,$125.6,$251.7,,,,,$6.5,$45.1,$103.4,,$0.0,$0.0,$0.0,$4.3,$57.7,$236.2,0,,0,$597.5,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1993,,,,,,$0.0,$21.2,$3.5,$3.1,,0,$27.8,$53.5,,,,,0,$7.0,$13.5,,$0.0,$0.0,$8.8,$5.0,$59.4,$226.5,0,,0,$576.4,,,0,,0,,$0.0,0,,,0,0,,0,0,0,0,$0.0
1994,,,,,,,0,$4.4,$76.3,$14.6,0,$95.3,$177.7,,,,,0,$11.8,$22.0,,$0.0,$0.0,$4.5,$17.0,$59.4,$359.0,0,,0,$820.4,,,0,,0,,$0.0,$91.2,,,0,0,,0,0,0,0,$170.1
1995,,,,,,,0,$2.1,$109.4,$83.3,0,$194.8,$354.1,,,,,0,0,$0.0,,$0.0,$0.0,$2.5,$4.3,$70.7,$346.8,0,,0,$771.4,,,0,,0,,$0.0,$66.0,,,0,0,,0,0,0,0,$120.0
1996,,,,,,,0,$2.6,$57.1,$143.7,0,$203.4,$360.8,,,,,,0,$0.0,,$0.0,$0.0,$2.5,$8.0,$71.5,$287.6,0,,0,$655.7,,,,$36.4,0,,$64.6,$16.4,$27.7,$41.2,0,0,,0,0,0,0,$151.3
1997,,,,,,,0,,$11.8,$143.0,0,$154.8,$270.7,,,,,,0,,,$0.0,$0.0,$2.5,$8.0,$64.4,$187.6,0,,0,$459.1,,,,$20.6,0,,$36.0,$3.3,$63.7,$40.1,0,0,,0,0,0,0,$187.3
1998,,,,,,,0,,$4.6,$164.7,0,$169.3,$289.0,,,,,,0,,,$0.0,$0.0,$0.0,$8.0,$29.8,$60.4,0,,0,$167.6,,,,$4.7,0,,$8.0,$11.2,$54.5,$63.9,$0.4,0,,0,0,0,0,$221.9
1999,,,,,,,0,,0,$188.5,0,$188.5,$314.0,,,,,,0,,,$0.0,$0.0,$0.0,$0.0,$16.0,$64.6,0,$15.4,0,$159.9,,,,$2.2,0,,$3.7,$14.5,$24.8,$13.8,$8.8,$1.5,,0,0,0,0,$105.6
2000,,,,,,,0,,0,$254.3,0,$254.3,$407.1,,,,,,,,,$1.7,$2.8,$0.0,$0.0,$15.0,$61.2,0,,0,$122.0,,,0,,0,,$0.0,$13.2,$4.3,$4.9,$52.1,$22.8,,0,0,0,0,$155.8
2001,,,,,,,0,,,$447.6,0,$447.6,$691.5,,,,,,,,,$9.6,$15.4,$0.0,$0.0,$15.0,$58.1,0,$87.3,0,$247.8,,,0,,0,,$0.0,$10.0,$4.6,$5.8,$62.2,$72.7,,$0.7,0,0,0,$241.0
2002,,,,,,,0,,,$456.9,0,$456.9,$686.7,,,,,,,,,$51.8,$80.0,$0.0,$1.8,$15.0,$65.8,0,$24.1,0,$160.4,,,,,0,,$0.0,$1.5,$4.3,$0.6,$19.7,$113.4,$1.0,$30.0,0,0,0,$256.3
2003,,,,,,,0,,,$500.4,0,$500.4,$736.1,,,,,,,,,$97.4,$146.4,$0.0,$0.8,$15.0,$75.7,0,$15.0,0,$156.7,,,,,0,,$0.0,$3.0,$5.6,,0,$80.5,$36.3,$123.6,0,0,0,$366.3
2004,,,,,,,0,,,$596.3,0,$596.3,$847.9,,,,,,,,,$86.7,$127.5,0,$2.0,0,$81.2,0,,0,$118.3,,,,,0,,$0.0,0,$6.8,,0,$17.8,$126.5,$140.1,0,0,0,$414.1
2005,,,,,,,0,,,$588.5,0,$588.5,$812.1,,,,,,,,,$42.3,$60.2,0,$0.0,0,$81.0,$2.7,,0,$115.5,,,,,0,,$0.0,0,$5.6,,0,$31.9,$85.9,$193.5,0,0,0,$437.3
2006,,,,,,,0,,,$662.2,0,$662.2,$886.0,,,,,,,,,$7.7,$10.6,0,$0.0,0,$81.3,$40.4,,0,$162.8,,,,,0,,$0.0,0,$6.6,,0,$7.7,$59.6,$77.8,0,0,0,$203.0
2007,,,,,,,0,,,$634.9,0,$634.9,$817.8,,,,,,,,,$8.2,$11.0,0,$0.0,0,$81.3,$87.8,,0,$217.7,,,,,$1.2,,$1.5,0,$5.8,,0,$9.2,$63.7,$18.8,0,0,0,$125.5
2008,,,,,,,0,,,$709.3,0,$709.3,$882.4,,,,,,,,,$9.4,$12.1,0,$0.0,0,$81.3,$95.0,,0,$219.3,,,,,$67.1,$41.3,$134.8,0,$5.8,,0,$9.2,$7.8,$20.2,0,0,0,$53.5
2009,,,,,,,0,,,$361.7,0,$361.7,$441.3,,,,,,,,,$11.5,$14.3,0,$0.0,0,$81.3,$260.1,$23.6,0,$445.2,,,,,$152.9,$69.1,$270.8,0,$5.8,,0,$9.2,$7.6,$19.0,0,0,0,$50.7
2010,,,,,,,0,,,$438.2,$0,$438.2,$527.6,,,,,,,,,$16.3,$19.9,,$0.0,$0.0,$81.3,$257.1,$19.4,$0,$430.7,,,,,$124.1,$94.5,$263.2,0,$5.8,,0,$9.2,$8.1,$18.4,0,0,0,$50.0
2011,,,,,,,,,,$547.4,$3.0,$550.4,$652.2,,,,,,,,,$15.8,$19.0,,$4.4,0,$65.8,$189.2,$26.1,0,$338.3,,,,,$103.4,$130.2,$276.8,0,$5.8,,0,$5.3,$14.8,$9.7,$4.9,0,0,$48.0
2012,,,,,,,,,,$587.1,$62.0,$649.1,$760.7,,,,,,,,,$22.7,$26.9,,$5.3,,$60.3,$14.4,$61.8,0,$166.2,,,,,$29.8,$139.9,$198.9,0,,,0,$4.0,$14.3,$26.5,$99.8,$0,0,$169.5
2013,,,,,,,,,,$369.5,$122.7,$492.2,$568.5,,,,,,,,,$34.9,$40.9,,$5.3,,$57.9,$17.8,$89.9,,$197.4,,,,,$7.0,$71.8,$91.0,0,,,0,$3.0,$23.3,$9.6,$125.5,0,0,$186.4
2014,,,,,,,,,,$288.0,$203.3,$491.3,$556.6,,,,,,,,,$16.6,$19.2,,$5.4,,$51.6,$7.7,$100.8,,$187.5,,,,,$3.0,$23.8,$30.4,0,,,0,0,$1.5,$12.9,$207.3,0,0,$251.2
2015,,,,,,,,,,$305.0,$170.0,$475.0,$527.3,,,,,,,,,$12.2,$13.8,,$5.5,,$68.1,$35.4,$15.9,$100.0,$249.6,,,,,0,,$0.0,,,,$0,0,$17.2,$28.8,$209.8,0,0,$283.9
2016,,,,,,,,,,$513.0,$92.1,$605.1,$662.6,,,,,,,,,$6.0,$6.7,,$5.7,,$58.8,$45.8,$55.9,$146.3,$342.2,,,,,,,$0.0,,,,0,0,$22.2,$21.5,$124.7,$3.0,$3.0,$191.0
2017,,,,,,,,,,$647.0,$32.3,$679.3,$730.2,,,,,,,,,$6.8,$7.4,,$5.6,,$54.1,$61.9,$68.0,$237.4,$459.0,,,,,,,$0.0,,,,0,,$1.0,$29.4,$39.5,$54.5,$47.3,$184.6
2018,,,,,,,,,,$678.0,$74.3,$752.3,$789.9,,,,,,,,,$0.0,$0.0,,$5.6,,$19.2,$17.8,$97.0,$525.0,$697.8,,,,,,,$0.0,,,,0,,$11.1,$12.0,$42.8,$81.4,$42.0,$198.8
2019,,,,,,,,,,$712.7,$23.1,$735.8,$754.9,,,,,,,,,$0.0,$0.0,,$5.8,,$3.9,$11.8,$244.7,$545.0,$832.3,,,,,,$188.1,$193.0,,,,0,,$0.2,$12.7,$50.3,$165.5,$174.2,$413.4
2020,,,,,,,,,,$546.5,$11.8,$558.3,$558.3,,,,,,,,,$0.0,$0.0,,,,0,$32.0,$51,$592.6,$676.0,,,,,,$300,$300.0,,,,0,,,$18.3,$50.3,$210.7,$219.3,$498.6
2021,,,,,,,,,,$528.6,$11.8,$540.4,$540.4,,,,,,,,,,$0.0,,,,,$28.4,$414.5,$403.5,$846.4,,,,,,$451.5,$451.5,,,,0,,,$9.5,$28.8,$153.4,$187.4,$379.1
2022,,,,,,,,,,$588.4,$8.8,$597.2,$597.2,,,,,,,,,,$0.0,,,,,$18.9,$370.7,$351.8,$741.4,,,,,,$517.3,$517.3,,,,0,,,0,$16.9,$63.7,$152.4,$233.0
,,,,,,,,,,,,,"$28,624.9",,,,,,,"$3,645.8",,,"$1,495.4",,,,,,,,"$19,324.8",,,,,,,"$14,108.4",,,,,,,,,,,"$6,347.1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
